folio,planta,uso_medico,palabra_eva,familia,significado_probable,longitud
010R,Plantago major,"Heridas, úlceras",ar,desconocida,pendiente,2
010V,Rosmarinus officinalis,Asma emocional,pchedy,pch,corte / raíz / mezcla,6
010V,Rosmarinus officinalis,Asma emocional,qotein,qot,perforar / abrir / canalizar,6
011R,Artemisia vulgaris,"Regular ciclo menstrual, dolor cólico",nan,desconocida,pendiente,3
011V,Valeriana officinalis,"Ansiedad postparto, insomnio",nan,desconocida,pendiente,3
012R,Plantago major,"Cicatrización heridas, úlceras",nan,desconocida,pendiente,3
012V,Urtica dioica,"Anemia, estimulante lactancia",nan,desconocida,pendiente,3
013R,Tussilago farfara,"Tos, bronquitis",nan,desconocida,pendiente,3
013V,Sambucus nigra,"Resfriados, fiebre",nan,desconocida,pendiente,3
014R,Achillea millefolium,"Hemorragias, heridas",nan,desconocida,pendiente,3
014V,Chelidonium majus,"Problemas hepáticos, verrugas",nan,desconocida,pendiente,3
015R,Mentha piperita,"Digestión, náuseas",nan,desconocida,pendiente,3
015V,Foeniculum vulgare,"Cólicos, galactógeno",nan,desconocida,pendiente,3
016R,Allium sativum,"Infecciones, parásitos",nan,desconocida,pendiente,3
016V,Cinnamomum verum,"Digestivo, estimulante",nan,desconocida,pendiente,3
017R,Zingiber officinale,"Náuseas, vómitos",nan,desconocida,pendiente,3
017V,Curcuma longa,Antiinflamatorio,nan,desconocida,pendiente,3
018R,Glycyrrhiza glabra,"Tos, úlceras",nan,desconocida,pendiente,3
018V,Althaea officinalis,Irritación garganta,nan,desconocida,pendiente,3
019R,Rosa gallica,"Astringente, menstrual",nan,desconocida,pendiente,3
019V,Lavandula angustifolia,"Sedante, cefalea",nan,desconocida,pendiente,3
020R,Salvia officinalis,"Dolor menstrual, digestión",nan,desconocida,pendiente,3
020V,Rosmarinus officinalis,"Circulación, memoria",nan,desconocida,pendiente,3
021R,Sambucus nigra,Tratamiento general de salud femenina - protocolo folio 21,nan,desconocida,pendiente,3
021V,Foeniculum vulgare,Tratamiento general de salud femenina - protocolo folio 21,nan,desconocida,pendiente,3
022R,Thymus vulgaris,Tratamiento general de salud femenina - protocolo folio 22,nan,desconocida,pendiente,3
022V,Calendula officinalis,Tratamiento general de salud femenina - protocolo folio 22,nan,desconocida,pendiente,3
023R,Glycyrrhiza glabra,Tratamiento general de salud femenina - protocolo folio 23,nan,desconocida,pendiente,3
023V,Urtica dioica,Tratamiento general de salud femenina - protocolo folio 23,nan,desconocida,pendiente,3
024R,Viola odorata,Tratamiento general de salud femenina - protocolo folio 24,nan,desconocida,pendiente,3
024V,Thymus vulgaris,Tratamiento general de salud femenina - protocolo folio 24,nan,desconocida,pendiente,3
025R,Viola odorata,Tratamiento general de salud femenina - protocolo folio 25,nan,desconocida,pendiente,3
025V,Chelidonium majus,Tratamiento general de salud femenina - protocolo folio 25,nan,desconocida,pendiente,3
026R,Artemisia vulgaris,Tratamiento general de salud femenina - protocolo folio 26,nan,desconocida,pendiente,3
026V,Mentha piperita,Tratamiento general de salud femenina - protocolo folio 26,nan,desconocida,pendiente,3
027R,Cinnamomum verum,Tratamiento general de salud femenina - protocolo folio 27,nan,desconocida,pendiente,3
027V,Allium sativum,Tratamiento general de salud femenina - protocolo folio 27,nan,desconocida,pendiente,3
028R,Chelidonium majus,Tratamiento general de salud femenina - protocolo folio 28,nan,desconocida,pendiente,3
028V,Rosmarinus officinalis,Tratamiento general de salud femenina - protocolo folio 28,nan,desconocida,pendiente,3
029R,Allium sativum,Tratamiento general de salud femenina - protocolo folio 29,nan,desconocida,pendiente,3
029V,Ruta graveolens,Tratamiento general de salud femenina - protocolo folio 29,nan,desconocida,pendiente,3
030R,Melissa officinalis,Tratamiento general de salud femenina - protocolo folio 30,nan,desconocida,pendiente,3
030V,Tussilago farfara,Tratamiento general de salud femenina - protocolo folio 30,nan,desconocida,pendiente,3
031R,Salvia officinalis,Tratamiento general de salud femenina - protocolo folio 31,nan,desconocida,pendiente,3
031V,Artemisia vulgaris,Tratamiento general de salud femenina - protocolo folio 31,nan,desconocida,pendiente,3
032R,Rosa gallica,Tratamiento general de salud femenina - protocolo folio 32,nan,desconocida,pendiente,3
032V,Artemisia vulgaris,Tratamiento general de salud femenina - protocolo folio 32,nan,desconocida,pendiente,3
033R,Sambucus nigra,Tratamiento general de salud femenina - protocolo folio 33,nan,desconocida,pendiente,3
033V,Curcuma longa,Tratamiento general de salud femenina - protocolo folio 33,nan,desconocida,pendiente,3
034R,Borago officinalis,Tratamiento general de salud femenina - protocolo folio 34,nan,desconocida,pendiente,3
034V,Salvia officinalis,Tratamiento general de salud femenina - protocolo folio 34,nan,desconocida,pendiente,3
035R,Allium sativum,Tratamiento general de salud femenina - protocolo folio 35,nan,desconocida,pendiente,3
035V,Ruta graveolens,Tratamiento general de salud femenina - protocolo folio 35,nan,desconocida,pendiente,3
036R,Curcuma longa,Tratamiento general de salud femenina - protocolo folio 36,nan,desconocida,pendiente,3
036V,Rosmarinus officinalis,Tratamiento general de salud femenina - protocolo folio 36,nan,desconocida,pendiente,3
037R,Zingiber officinale,Tratamiento general de salud femenina - protocolo folio 37,nan,desconocida,pendiente,3
037V,Melissa officinalis,Tratamiento general de salud femenina - protocolo folio 37,nan,desconocida,pendiente,3
038R,Achillea millefolium,Tratamiento general de salud femenina - protocolo folio 38,nan,desconocida,pendiente,3
038V,Rosa gallica,Tratamiento general de salud femenina - protocolo folio 38,nan,desconocida,pendiente,3
039R,Ruta graveolens,Tratamiento general de salud femenina - protocolo folio 39,nan,desconocida,pendiente,3
039V,Lavandula angustifolia,Tratamiento general de salud femenina - protocolo folio 39,nan,desconocida,pendiente,3
040R,Thymus vulgaris,Tratamiento general de salud femenina - protocolo folio 40,nan,desconocida,pendiente,3
040V,Althaea officinalis,Tratamiento general de salud femenina - protocolo folio 40,nan,desconocida,pendiente,3
041R,Rosa gallica,Tratamiento general de salud femenina - protocolo folio 41,nan,desconocida,pendiente,3
041V,Artemisia vulgaris,Tratamiento general de salud femenina - protocolo folio 41,nan,desconocida,pendiente,3
042R,Hypericum perforatum,Tratamiento general de salud femenina - protocolo folio 42,nan,desconocida,pendiente,3
042V,Allium sativum,Tratamiento general de salud femenina - protocolo folio 42,nan,desconocida,pendiente,3
043R,Zingiber officinale,Tratamiento general de salud femenina - protocolo folio 43,nan,desconocida,pendiente,3
043V,Hypericum perforatum,Tratamiento general de salud femenina - protocolo folio 43,nan,desconocida,pendiente,3
044R,Ruta graveolens,Tratamiento general de salud femenina - protocolo folio 44,nan,desconocida,pendiente,3
044V,Urtica dioica,Tratamiento general de salud femenina - protocolo folio 44,nan,desconocida,pendiente,3
045R,Hypericum perforatum,Tratamiento general de salud femenina - protocolo folio 45,nan,desconocida,pendiente,3
045V,Malva sylvestris,Tratamiento general de salud femenina - protocolo folio 45,nan,desconocida,pendiente,3
046R,Rosa gallica,Tratamiento general de salud femenina - protocolo folio 46,nan,desconocida,pendiente,3
046V,Tanacetum parthenium,Tratamiento general de salud femenina - protocolo folio 46,nan,desconocida,pendiente,3
047R,Thymus vulgaris,Tratamiento general de salud femenina - protocolo folio 47,nan,desconocida,pendiente,3
047V,Artemisia vulgaris,Tratamiento general de salud femenina - protocolo folio 47,nan,desconocida,pendiente,3
048R,Urtica dioica,Tratamiento general de salud femenina - protocolo folio 48,nan,desconocida,pendiente,3
048V,Urtica dioica,Tratamiento general de salud femenina - protocolo folio 48,nan,desconocida,pendiente,3
049R,Thymus vulgaris,Tratamiento general de salud femenina - protocolo folio 49,nan,desconocida,pendiente,3
049V,Tanacetum parthenium,Tratamiento general de salud femenina - protocolo folio 49,nan,desconocida,pendiente,3
050R,Ruta graveolens,Tratamiento general de salud femenina - protocolo folio 50,nan,desconocida,pendiente,3
050V,Curcuma longa,Tratamiento general de salud femenina - protocolo folio 50,nan,desconocida,pendiente,3
051R,Sambucus nigra,Tratamiento general de salud femenina - protocolo folio 51,nan,desconocida,pendiente,3
051V,Achillea millefolium,Tratamiento general de salud femenina - protocolo folio 51,nan,desconocida,pendiente,3
052R,Ruta graveolens,Tratamiento general de salud femenina - protocolo folio 52,nan,desconocida,pendiente,3
052V,Tussilago farfara,Tratamiento general de salud femenina - protocolo folio 52,nan,desconocida,pendiente,3
053R,Plantago major,Tratamiento general de salud femenina - protocolo folio 53,nan,desconocida,pendiente,3
053V,Artemisia vulgaris,Tratamiento general de salud femenina - protocolo folio 53,nan,desconocida,pendiente,3
054R,Viola odorata,Tratamiento general de salud femenina - protocolo folio 54,nan,desconocida,pendiente,3
054V,Calendula officinalis,Tratamiento general de salud femenina - protocolo folio 54,nan,desconocida,pendiente,3
055R,Artemisia vulgaris,Tratamiento general de salud femenina - protocolo folio 55,nan,desconocida,pendiente,3
055V,Allium sativum,Tratamiento general de salud femenina - protocolo folio 55,nan,desconocida,pendiente,3
056R,Calendula officinalis,Tratamiento general de salud femenina - protocolo folio 56,nan,desconocida,pendiente,3
056V,Lavandula angustifolia,Tratamiento general de salud femenina - protocolo folio 56,nan,desconocida,pendiente,3
057R,Foeniculum vulgare,Tratamiento general de salud femenina - protocolo folio 57,nan,desconocida,pendiente,3
057V,Rosmarinus officinalis,Tratamiento general de salud femenina - protocolo folio 57,nan,desconocida,pendiente,3
058R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 58,nan,desconocida,pendiente,3
058V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 58,nan,desconocida,pendiente,3
059R,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 59,nan,desconocida,pendiente,3
059V,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 59,nan,desconocida,pendiente,3
060R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 60,nan,desconocida,pendiente,3
060V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 60,nan,desconocida,pendiente,3
061R,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 61,nan,desconocida,pendiente,3
061V,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 61,nan,desconocida,pendiente,3
062R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 62,nan,desconocida,pendiente,3
062V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 62,nan,desconocida,pendiente,3
063R,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 63,nan,desconocida,pendiente,3
063V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 63,nan,desconocida,pendiente,3
064R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 64,nan,desconocida,pendiente,3
064V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 64,nan,desconocida,pendiente,3
065R,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 65,nan,desconocida,pendiente,3
065V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 65,nan,desconocida,pendiente,3
066R,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 66,nan,desconocida,pendiente,3
066V,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 66,nan,desconocida,pendiente,3
067R,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 67,nan,desconocida,pendiente,3
067V,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 67,nan,desconocida,pendiente,3
068R,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 68,nan,desconocida,pendiente,3
068V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 68,nan,desconocida,pendiente,3
069R,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 69,nan,desconocida,pendiente,3
069V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 69,nan,desconocida,pendiente,3
070R,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 70,nan,desconocida,pendiente,3
070V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 70,nan,desconocida,pendiente,3
071R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 71,nan,desconocida,pendiente,3
071V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 71,nan,desconocida,pendiente,3
072R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 72,nan,desconocida,pendiente,3
072V,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 72,nan,desconocida,pendiente,3
073R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 73,nan,desconocida,pendiente,3
073V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 73,nan,desconocida,pendiente,3
074R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 74,nan,desconocida,pendiente,3
074V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 74,nan,desconocida,pendiente,3
075R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 75,nan,desconocida,pendiente,3
075V,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 75,nan,desconocida,pendiente,3
076R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 76,nan,desconocida,pendiente,3
076V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 76,nan,desconocida,pendiente,3
077R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 77,nan,desconocida,pendiente,3
077V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 77,nan,desconocida,pendiente,3
078R,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 78,nan,desconocida,pendiente,3
078V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 78,nan,desconocida,pendiente,3
079R,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 79,nan,desconocida,pendiente,3
079V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 79,nan,desconocida,pendiente,3
080R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 80,nan,desconocida,pendiente,3
080V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 80,nan,desconocida,pendiente,3
081R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 81,nan,desconocida,pendiente,3
081V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 81,nan,desconocida,pendiente,3
082R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 82,nan,desconocida,pendiente,3
082V,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 82,nan,desconocida,pendiente,3
083R,Hypericum perforatum,Sincronización lunar de tratamientos - protocolo folio 83,nan,desconocida,pendiente,3
083V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 83,nan,desconocida,pendiente,3
084R,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 84,nan,desconocida,pendiente,3
084V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 84,nan,desconocida,pendiente,3
085R,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 85,nan,desconocida,pendiente,3
085V,Calendula officinalis,Sincronización lunar de tratamientos - protocolo folio 85,nan,desconocida,pendiente,3
086R,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 86,nan,desconocida,pendiente,3
086V,Artemisia vulgaris,Sincronización lunar de tratamientos - protocolo folio 86,nan,desconocida,pendiente,3
087R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
087V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
088R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
088V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
089R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
089V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
090R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
090V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
091R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
091V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
092R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
092V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
093R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
093V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
094R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
094V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
095R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
095V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
096R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
096V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
097R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
097V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
098R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
098V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
099R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
099V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
100R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
100V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
101R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
101V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
102R,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
102V,Planta no especificada,Uso no especificado,nan,desconocida,pendiente,3
103R,Thymus vulgaris,Terapia de baños medicinales - protocolo folio 103,nan,desconocida,pendiente,3
103V,Salvia officinalis,Terapia de baños medicinales - protocolo folio 103,nan,desconocida,pendiente,3
104R,Malva sylvestris,Terapia de baños medicinales - protocolo folio 104,nan,desconocida,pendiente,3
104V,Malva sylvestris,Terapia de baños medicinales - protocolo folio 104,nan,desconocida,pendiente,3
105R,Malva sylvestris,Terapia de baños medicinales - protocolo folio 105,nan,desconocida,pendiente,3
105V,Thymus vulgaris,Terapia de baños medicinales - protocolo folio 105,nan,desconocida,pendiente,3
106R,Rosmarinus officinalis,Terapia de baños medicinales - protocolo folio 106,nan,desconocida,pendiente,3
106V,Malva sylvestris,Terapia de baños medicinales - protocolo folio 106,nan,desconocida,pendiente,3
107R,Malva sylvestris,Terapia de baños medicinales - protocolo folio 107,nan,desconocida,pendiente,3
107V,Rosmarinus officinalis,Terapia de baños medicinales - protocolo folio 107,nan,desconocida,pendiente,3
108R,Rosmarinus officinalis,Terapia de baños medicinales - protocolo folio 108,nan,desconocida,pendiente,3
108V,Malva sylvestris,Terapia de baños medicinales - protocolo folio 108,nan,desconocida,pendiente,3
109R,Thymus vulgaris,Terapia de baños medicinales - protocolo folio 109,nan,desconocida,pendiente,3
109V,Salvia officinalis,Terapia de baños medicinales - protocolo folio 109,nan,desconocida,pendiente,3
110R,Rosmarinus officinalis,Terapia de baños medicinales - protocolo folio 110,nan,desconocida,pendiente,3
110V,Salvia officinalis,Terapia de baños medicinales - protocolo folio 110,nan,desconocida,pendiente,3
111R,Thymus vulgaris,Terapia de baños medicinales - protocolo folio 111,nan,desconocida,pendiente,3
111V,Salvia officinalis,Terapia de baños medicinales - protocolo folio 111,nan,desconocida,pendiente,3
112R,Malva sylvestris,Terapia de baños medicinales - protocolo folio 112,nan,desconocida,pendiente,3
112V,Malva sylvestris,Terapia de baños medicinales - protocolo folio 112,nan,desconocida,pendiente,3
113R,Rosmarinus officinalis,Terapia de baños medicinales - protocolo folio 113,nan,desconocida,pendiente,3
113V,Rosmarinus officinalis,Terapia de baños medicinales - protocolo folio 113,nan,desconocida,pendiente,3
114R,Malva sylvestris,Terapia de baños medicinales - protocolo folio 114,nan,desconocida,pendiente,3
114V,Salvia officinalis,Terapia de baños medicinales - protocolo folio 114,nan,desconocida,pendiente,3
115R,Thymus vulgaris,Terapia de baños medicinales - protocolo folio 115,nan,desconocida,pendiente,3
115V,Salvia officinalis,Terapia de baños medicinales - protocolo folio 115,nan,desconocida,pendiente,3
116R,Viola odorata,Preparación de compuestos complejos - protocolo folio 116,nan,desconocida,pendiente,3
116V,Artemisia absinthium,Preparación de compuestos complejos - protocolo folio 116,nan,desconocida,pendiente,3
117R,Viola odorata,Preparación de compuestos complejos - protocolo folio 117,nan,desconocida,pendiente,3
117V,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 117,nan,desconocida,pendiente,3
118R,Viola odorata,Preparación de compuestos complejos - protocolo folio 118,nan,desconocida,pendiente,3
118V,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 118,nan,desconocida,pendiente,3
119R,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 119,nan,desconocida,pendiente,3
119V,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 119,nan,desconocida,pendiente,3
120R,Artemisia absinthium,Preparación de compuestos complejos - protocolo folio 120,nan,desconocida,pendiente,3
120V,Artemisia absinthium,Preparación de compuestos complejos - protocolo folio 120,nan,desconocida,pendiente,3
121R,Viola odorata,Preparación de compuestos complejos - protocolo folio 121,nan,desconocida,pendiente,3
121V,Papaver somniferum,Preparación de compuestos complejos - protocolo folio 121,nan,desconocida,pendiente,3
122R,Viola odorata,Preparación de compuestos complejos - protocolo folio 122,nan,desconocida,pendiente,3
122V,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 122,nan,desconocida,pendiente,3
123R,Artemisia absinthium,Preparación de compuestos complejos - protocolo folio 123,nan,desconocida,pendiente,3
123V,Papaver somniferum,Preparación de compuestos complejos - protocolo folio 123,nan,desconocida,pendiente,3
124R,Papaver somniferum,Preparación de compuestos complejos - protocolo folio 124,nan,desconocida,pendiente,3
124V,Viola odorata,Preparación de compuestos complejos - protocolo folio 124,nan,desconocida,pendiente,3
125R,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 125,nan,desconocida,pendiente,3
125V,Artemisia absinthium,Preparación de compuestos complejos - protocolo folio 125,nan,desconocida,pendiente,3
126R,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 126,nan,desconocida,pendiente,3
126V,Viola odorata,Preparación de compuestos complejos - protocolo folio 126,nan,desconocida,pendiente,3
127R,Viola odorata,Preparación de compuestos complejos - protocolo folio 127,nan,desconocida,pendiente,3
127V,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 127,nan,desconocida,pendiente,3
128R,Viola odorata,Preparación de compuestos complejos - protocolo folio 128,nan,desconocida,pendiente,3
128V,Papaver somniferum,Preparación de compuestos complejos - protocolo folio 128,nan,desconocida,pendiente,3
129R,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 129,nan,desconocida,pendiente,3
129V,Hypericum perforatum,Preparación de compuestos complejos - protocolo folio 129,nan,desconocida,pendiente,3
130R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 130,nan,desconocida,pendiente,3
130V,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 130,nan,desconocida,pendiente,3
131R,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 131,nan,desconocida,pendiente,3
131V,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 131,nan,desconocida,pendiente,3
132R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 132,nan,desconocida,pendiente,3
132V,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 132,nan,desconocida,pendiente,3
133R,Vitex agnus-castus,Salud reproductiva y ciclo menstrual - protocolo folio 133,nan,desconocida,pendiente,3
133V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 133,nan,desconocida,pendiente,3
134R,Rubia tinctorum,Salud reproductiva y ciclo menstrual - protocolo folio 134,nan,desconocida,pendiente,3
134V,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 134,nan,desconocida,pendiente,3
135R,Angelica sinensis,Salud reproductiva y ciclo menstrual - protocolo folio 135,nan,desconocida,pendiente,3
135V,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 135,nan,desconocida,pendiente,3
136R,Achillea millefolium,Salud reproductiva y ciclo menstrual - protocolo folio 136,nan,desconocida,pendiente,3
136V,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 136,nan,desconocida,pendiente,3
137R,Cimicifuga racemosa,Salud reproductiva y ciclo menstrual - protocolo folio 137,nan,desconocida,pendiente,3
